what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1273003067000
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1273003089703
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1273003091171
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1273003091531
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1273003092640
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1273003092687
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1273003092781
