what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1272903880156
arch,sysinfo,,,"x86",1272903880156
ws,sysinfo,,,"win32",1272903880156
locale,sysinfo,,,"en_GB",1272903880156
processors,sysinfo,,,"2",1272903880156
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1272903880156
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1272903880156
java.specification.name,sysinfo,,,"Java Platform API Specification",1272903880156
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1272903880156
java.specification.version,sysinfo,,,"1.6",1272903880156
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1272903880156
java.version,sysinfo,,,"1.6.0_18",1272903880156
java.vm.info,sysinfo,,,"mixed mode",1272903880156
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1272903880156
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1272903880156
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1272903880156
java.vm.specification.version,sysinfo,,,"1.0",1272903880156
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1272903880156
java.vm.version,sysinfo,,,"16.0-b13",1272903880156
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.bugzilla.ui",1272903880296
started,bundle,org.eclipse.mylyn.context.core,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.core",1272903880515
started,bundle,org.eclipse.mylyn.context.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.ui",1272903880671
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.tasks.ui",1272903880859
started,bundle,org.eclipse.mylyn.team.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.team.ui",1272903880906
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1272903881656
