what,kind,bundleId,bundleVersion,description,time
started,bundle,com.android.ide.eclipse.ddms,0.9.5.v200911191123-20404,"com.android.ide.eclipse.ddms",1273002924000
started,bundle,org.eclipse.mylyn.bugzilla.core,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.bugzilla.core",1273002924093
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.bugzilla.ui",1273002924265
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1273002924265
started,bundle,org.eclipse.mylyn.commons.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.commons.ui",1273002924484
started,bundle,org.eclipse.mylyn.context.core,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.core",1273002924531
started,bundle,org.eclipse.mylyn.context.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.ui",1273002924687
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.monitor.ui",1273002924765
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.tasks.ui",1273002924921
started,bundle,org.eclipse.mylyn.team.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.team.ui",1273002924921
os,sysinfo,,,"win32",1273002925109
arch,sysinfo,,,"x86",1273002925109
ws,sysinfo,,,"win32",1273002925109
locale,sysinfo,,,"en_GB",1273002925109
processors,sysinfo,,,"2",1273002925109
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1273002925109
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1273002925109
java.specification.name,sysinfo,,,"Java Platform API Specification",1273002925109
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1273002925109
java.specification.version,sysinfo,,,"1.6",1273002925109
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1273002925109
java.version,sysinfo,,,"1.6.0_18",1273002925109
java.vm.info,sysinfo,,,"mixed mode",1273002925109
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1273002925109
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1273002925109
